epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,0.1016334306538371,0.06645273398501532,0.9838928571428571,0.06712531624138356,0.9835142857142857
1,0.040983003107125736,0.050553958292518346,0.99025,0.053394708547847614,0.9896
2,0.028770364002786975,0.05168085103162697,0.9903571428571428,0.05462544327750802,0.9900571428571429
3,0.022256498536963147,0.06286783429554531,0.9891071428571429,,
4,0.018449560800464157,0.05983527558403356,0.9898214285714285,,
5,0.017308929350059146,0.0648782642185688,0.9893928571428572,,
6,0.013293303093045584,0.06874478057665484,0.9896785714285714,,
7,0.014785189834317758,0.07607008590655667,0.9885,,
8,0.01263777615258545,0.07266528663039208,0.9885,,
9,0.014250515767550263,0.07638219092573438,0.9891071428571429,,
10,0.007101268140040546,0.07721453689464501,0.9898928571428571,,
11,0.01081673810516981,0.07108668993413449,0.9903571428571428,0.07425347098133497,0.9897571428571429
12,0.007525195462491995,0.08937110170189823,0.9893571428571428,,
13,0.007480561427781608,0.08561266605343137,0.9888571428571429,,
14,0.005899375569060586,0.09114532788736479,0.9898928571428571,,
15,0.008149398041828265,0.08938412091987473,0.989,,
16,0.00871063285861393,0.09984249918801444,0.9893571428571428,,
17,0.008428870173972973,0.08440573443046638,0.9899285714285714,,
18,0.006564527245168158,0.09597630793707711,0.9895714285714285,,
19,0.008526881494612462,0.08728383597305843,0.9893214285714286,,
