epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,0.3698733476579189,0.26747536873817446,0.89225,0.25402433025360105,0.89624
1,0.19852693666815757,0.2853966269493103,0.8905,,
2,0.10609273404330015,0.3468174211978912,0.88475,,
3,0.060194638921879234,0.4156784524917603,0.89375,0.4018674648094177,0.89644
4,0.04610593058574013,0.39553190088272094,0.8795,,
5,0.025015288994600995,0.47030628299713134,0.889,,
6,0.028429846092313527,0.4644238021373749,0.88875,,
7,0.028507061150087974,0.5121357908248901,0.882,,
8,0.03022279440332204,0.5151980128288269,0.88375,,
9,0.023651076884334907,0.6832572951316833,0.8665,,
10,0.02365840493591968,0.5463503746986389,0.884,,
11,0.01909237372048665,0.5616800894737244,0.88575,,
12,0.021899704380123876,0.4815253529548645,0.893,,
13,0.014770390362502077,0.583447892665863,0.89025,,
14,0.010254398352908901,0.5710229501724243,0.8895,,
15,0.013356879442965146,0.7513738412857056,0.883,,
16,0.01847106880112551,0.5504933385848999,0.887,,
17,0.011818927941843867,0.5624037418365478,0.8895,,
18,0.024785029213270172,0.5940928339958191,0.88525,,
19,0.006222733945376239,0.6470074110031128,0.88875,,
