epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,0.4225079866185784,0.3204712734222412,0.8965,0.3220576221064517,0.8964473684210527
1,0.2515947777181864,0.3014842438697815,0.8975,0.3069636593366924,0.9014473684210527
2,0.1737872099094093,0.2839722380638123,0.90325,0.2984396393048136,0.9022368421052631
3,0.12047808828949928,0.32731218671798706,0.89975,,
4,0.08842365935738199,0.33751435256004336,0.90675,0.3490665507944007,0.9086842105263158
5,0.0723606459505856,0.3489050395488739,0.902,,
6,0.05057910102847964,0.4116791968345642,0.905125,,
7,0.04694532229602337,0.4029925782680511,0.89725,,
8,0.03685896052387543,0.46624218606948853,0.90425,,
9,0.03523164025139995,0.4795376181602478,0.902625,,
10,0.02840173169579939,0.4869176843166351,0.905375,,
11,0.027889101954060608,0.43005701613426206,0.9055,,
12,0.020987490109924692,0.48451608848571776,0.90375,,
13,0.02284632663339726,0.4823099880218506,0.905625,,
14,0.025894007099815645,0.5034534921646118,0.907375,0.49121815537151536,0.9113157894736842
15,0.01903584946078481,0.45510820412635805,0.909875,0.45206634320710837,0.9114473684210527
16,0.014309935653634602,0.5404510426521302,0.9125,0.5728809159680417,0.9103947368421053
17,0.023717716609081254,0.49902876567840576,0.903875,,
18,0.018778866208379624,0.5519323410987854,0.90825,,
19,0.010250559682800668,0.5949382610321045,0.907125,,
